season,match_date,period,timestamp,team,player,play_pattern,under_pressure,body_part,type,technique,first_time,one_on_one,open_goal,key_pass_id,start_location_x,start_location_y,distance,angle,goal,statsbomb_xg,xg
2018/2019,2019-04-06,1,00:47:45.608,Barcelona,Philippe Coutinho Correia,Regular Play,0,Head,Open Play,Normal,0,0,0,4f3630b0-ef6f-4707-bfa2-351553b63de0,113.0,32.6,10.186265262597473,32.54210705217215,0,0.07861631,0.12018360006380235
2018/2019,2019-04-06,2,00:06:08.222,Barcelona,Sergio Busquets i Burgos,From Throw In,0,Foot,Open Play,Normal,1,0,0,6bf4f2fb-1077-4e86-a54b-6dcf3913afbc,96.3,35.0,24.221684499637927,18.378004669822303,0,0.056829132000000004,0.08667458365056366
2018/2019,2019-04-06,2,00:08:18.112,Barcelona,Luis Alberto Suárez Díaz,From Free Kick,0,Foot,Open Play,Normal,0,0,0,cb2913f2-3be8-4d4c-9fcf-26d8bfdc7751,103.2,30.3,19.39922678871505,20.4550840589592,0,0.043521103,0.08406872697195276
2018/2019,2019-04-06,2,00:10:47.236,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Foot,Open Play,Normal,0,0,0,27680d96-4547-410b-8c5a-afccdf2a40a0,99.8,44.1,20.61188977265307,21.56665650261523,0,0.10361094,0.10695592321803507
2018/2019,2019-04-06,2,00:15:25.878,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Foot,Open Play,Normal,0,0,0,0c2d779e-f297-4c90-8059-0e89e66fc4e6,102.6,37.2,17.623847480048173,25.290972878127317,0,0.08115660000000001,0.21014105330720517
2018/2019,2019-04-06,2,00:16:43.291,Barcelona,Luis Alberto Suárez Díaz,From Counter,1,Foot,Open Play,Normal,1,0,0,5f10186c-ee63-452b-9bb7-b3d2daad666c,108.0,30.8,15.12084653714864,24.297618185160875,0,0.39895886,0.18717977388102863
2018/2019,2019-04-06,2,00:17:40.995,Barcelona,Ivan Rakitić,From Throw In,0,Foot,Open Play,Normal,0,0,0,,91.8,37.1,28.34872131155125,15.982858243562234,0,0.017191486000000002,0.03587896656138016
2018/2019,2019-04-06,2,00:18:22.301,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Foot,Open Play,Normal,0,0,0,5f35f2f3-1390-4a5c-9edb-2ad172cd1216,98.0,44.8,22.517548712060112,19.718844206620933,0,0.08214762,0.08535077825400406
2018/2019,2019-04-06,2,00:23:44.355,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Foot,Open Play,Normal,1,0,0,,99.5,40.7,20.511947737842934,22.057712407635346,0,0.12018121,0.10695592321803507
2018/2019,2019-04-06,2,00:23:46.675,Barcelona,Malcom Filipe Silva de Oliveira,Regular Play,0,Foot,Open Play,Half Volley,1,0,0,,107.5,53.6,18.47187050625897,17.092328955598163,0,0.09467776,0.0996909790199002
2018/2019,2019-04-06,2,00:38:23.514,Barcelona,Lionel Andrés Messi Cuccittini,From Throw In,0,Foot,Open Play,Normal,0,0,0,a48a7503-7728-43cb-97e7-d782af910ddf,99.5,47.8,21.93376392687767,19.423665581797877,0,0.038144685,0.08535077825400406
2018/2019,2019-04-06,2,00:39:15.984,Barcelona,Luis Alberto Suárez Díaz,From Throw In,0,Foot,Open Play,Normal,0,0,0,64afc220-123c-45c5-9cb2-cf68de17e30c,97.7,28.8,24.95455870176829,16.38519448085859,1,0.033297762,0.03587896656138016
2018/2019,2019-04-06,2,00:40:59.382,Barcelona,Lionel Andrés Messi Cuccittini,From Counter,0,Foot,Open Play,Normal,0,0,0,,108.0,42.5,12.257650672131266,35.567944973265135,1,0.11804460000000001,0.37149246175855616
