season,match_date,period,timestamp,team,player,play_pattern,under_pressure,body_part,type,technique,first_time,one_on_one,open_goal,key_pass_id,start_location_x,start_location_y,distance,angle,goal,statsbomb_xg
2018/2019,2019-04-06,1,00:09:47.594,Barcelona,Philippe Coutinho Correia,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,7aa8e1fc-b09a-479e-8318-7802317c3d82,92.7,23.2,32.05510879719487,12.183736535669118,0,0.017964056
2018/2019,2019-04-06,1,00:13:30.158,Barcelona,Jordi Alba Ramos,Regular Play,0,Left Foot,Open Play,Half Volley,0,1,0,be88f86b-70f5-41b6-a940-7f901cbfcff9,109.9,34.5,11.500434774390047,34.79906789202001,0,0.36847878
2018/2019,2019-04-06,1,00:19:01.873,Barcelona,Luis Alberto Suárez Díaz,From Counter,0,Right Foot,Open Play,Volley,1,0,0,,107.3,55.3,19.884164553734713,14.9923111295987,0,0.04368854
2018/2019,2019-04-06,1,00:22:51.596,Barcelona,Lionel Andrés Messi Cuccittini,From Free Kick,0,Left Foot,Free Kick,Normal,0,0,0,,94.3,46.8,26.58439391823707,16.57595809496248,0,0.08146607
2018/2019,2019-04-06,1,00:26:58.611,Barcelona,Philippe Coutinho Correia,From Free Kick,1,Right Foot,Open Play,Normal,0,0,0,ff186539-36c0-457c-87d2-05bf62a89efe,103.4,38.4,16.67693017314637,26.86851435780751,0,0.3212127
2018/2019,2019-04-06,1,00:43:33.514,Barcelona,Lionel Andrés Messi Cuccittini,From Throw In,0,Left Foot,Open Play,Normal,1,0,0,38c41a29-1f40-4b0a-9363-7ca507bccebe,102.8,49.1,19.458931111445974,20.778207886134922,0,0.06114103
2018/2019,2019-04-06,1,00:44:54.238,Barcelona,Ivan Rakitić,From Free Kick,0,Right Foot,Open Play,Normal,0,0,0,e30e0a1a-eb73-4a5c-9c7b-ee46d7dfd208,89.8,51.9,32.459975354272835,13.106876349583576,0,0.02306382
2018/2019,2019-04-06,1,00:47:45.608,Barcelona,Philippe Coutinho Correia,Regular Play,0,Head,Open Play,Normal,0,0,0,4f3630b0-ef6f-4707-bfa2-351553b63de0,113.0,32.6,10.186265262597473,32.54210705217215,0,0.07861631
2018/2019,2019-04-06,2,00:06:08.222,Barcelona,Sergio Busquets i Burgos,From Throw In,0,Left Foot,Open Play,Normal,1,0,0,6bf4f2fb-1077-4e86-a54b-6dcf3913afbc,96.3,35.0,24.221684499637927,18.378004669822303,0,0.056829132
2018/2019,2019-04-06,2,00:08:18.112,Barcelona,Luis Alberto Suárez Díaz,From Free Kick,0,Right Foot,Open Play,Normal,0,0,0,cb2913f2-3be8-4d4c-9fcf-26d8bfdc7751,103.2,30.3,19.399226788715055,20.455084058959198,0,0.043521103
2018/2019,2019-04-06,2,00:10:47.236,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,27680d96-4547-410b-8c5a-afccdf2a40a0,99.8,44.1,20.61188977265307,21.566656502615235,0,0.10361094
2018/2019,2019-04-06,2,00:15:25.878,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,0c2d779e-f297-4c90-8059-0e89e66fc4e6,102.6,37.2,17.62384748004817,25.290972878127313,0,0.0811566
2018/2019,2019-04-06,2,00:16:43.291,Barcelona,Luis Alberto Suárez Díaz,From Counter,1,Right Foot,Open Play,Normal,1,0,0,5f10186c-ee63-452b-9bb7-b3d2daad666c,108.0,30.8,15.120846537148639,24.297618185160875,0,0.39895886
2018/2019,2019-04-06,2,00:17:40.995,Barcelona,Ivan Rakitić,From Throw In,0,Left Foot,Open Play,Normal,0,0,0,,91.8,37.1,28.34872131155125,15.982858243562236,0,0.017191486
2018/2019,2019-04-06,2,00:18:22.301,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,5f35f2f3-1390-4a5c-9edb-2ad172cd1216,98.0,44.8,22.517548712060112,19.718844206620936,0,0.08214762
2018/2019,2019-04-06,2,00:23:44.355,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,1,0,0,,99.5,40.7,20.511947737842938,22.057712407635343,0,0.12018121
2018/2019,2019-04-06,2,00:23:46.675,Barcelona,Malcom Filipe Silva de Oliveira,Regular Play,0,Left Foot,Open Play,Half Volley,1,0,0,,107.5,53.6,18.47187050625897,17.092328955598166,0,0.09467776
2018/2019,2019-04-06,2,00:38:23.514,Barcelona,Lionel Andrés Messi Cuccittini,From Throw In,0,Left Foot,Open Play,Normal,0,0,0,a48a7503-7728-43cb-97e7-d782af910ddf,99.5,47.8,21.933763926877667,19.42366558179788,0,0.038144685
2018/2019,2019-04-06,2,00:39:15.984,Barcelona,Luis Alberto Suárez Díaz,From Throw In,0,Right Foot,Open Play,Normal,0,0,0,64afc220-123c-45c5-9cb2-cf68de17e30c,97.7,28.8,24.954558701768295,16.38519448085859,1,0.033297762
2018/2019,2019-04-06,2,00:40:59.382,Barcelona,Lionel Andrés Messi Cuccittini,From Counter,0,Left Foot,Open Play,Normal,0,0,0,,108.0,42.5,12.257650672131263,35.567944973265135,1,0.1180446
2004/2005,2004-10-24,1,00:05:00.105,Barcelona,Anderson Luís de Souza,From Goal Kick,0,Right Foot,Open Play,Normal,0,0,0,040bebf4-5379-46f6-bc4f-da0a893d96a1,96.3,50.5,25.921805492673542,16.121981580212626,0,0.036633622
2004/2005,2004-10-24,1,00:06:02.739,Barcelona,Xavier Hernández Creus,From Counter,0,Right Foot,Open Play,Normal,0,1,0,,102.8,39.0,17.22904524342542,26.102945597543393,0,0.23110269
2004/2005,2004-10-24,1,00:12:55.979,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Volley,1,0,0,,88.6,48.7,32.58297101247829,13.50837428777308,0,0.015338736
2004/2005,2004-10-24,1,00:25:18.280,Barcelona,Xavier Hernández Creus,From Throw In,0,Right Foot,Open Play,Normal,0,0,0,3df4cd5d-1b36-49ff-8d6e-4f7ebc30f1d3,96.0,45.9,24.71457060116562,17.889672200244892,0,0.060939174
2004/2005,2004-10-24,1,00:32:43.817,Barcelona,Xavier Hernández Creus,From Free Kick,0,Right Foot,Open Play,Volley,1,0,0,,101.9,32.4,19.63084307919555,21.406115241087225,0,0.023326792
2004/2005,2004-10-24,1,00:34:00.264,Barcelona,Ludovic Giuly,From Counter,0,Right Foot,Open Play,Normal,0,0,0,7623be72-d8a0-4101-9855-ac4ebf28bac3,107.4,54.0,18.83507366590319,16.570678310378806,0,0.07910097
2004/2005,2004-10-24,1,00:39:56.180,Barcelona,"Samuel Eto""o Fils",Regular Play,1,Left Foot,Open Play,Half Volley,1,0,0,890ae295-1959-42b2-84d6-ea48fe31c81f,103.5,26.4,21.382469455140114,16.65598730503699,1,0.03570752
2004/2005,2004-10-24,1,00:41:21.197,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Overhead Kick,0,0,0,,107.7,33.1,14.103191128251787,28.2802029028852,0,0.04880458
2004/2005,2004-10-24,1,00:43:38.202,Barcelona,Ronaldo de Assis Moreira,Other,0,Right Foot,Penalty,Normal,0,0,0,,108.0,39.9,12.000416659433121,36.86774916153752,1,0.76
2004/2005,2004-10-24,2,00:01:17.043,Barcelona,Ronaldo de Assis Moreira,From Throw In,0,Right Foot,Open Play,Half Volley,0,0,0,8ab0f0e2-dfd6-483e-b4f1-114d000b2171,84.3,34.1,36.18425071768103,12.452794386337766,0,0.0111783575
2004/2005,2004-10-24,2,00:12:24.810,Barcelona,"Samuel Eto""o Fils",From Free Kick,1,Head,Open Play,Normal,0,0,0,eb6594b2-9db9-4abe-b56e-1bc0f2fd3229,106.8,43.4,13.630847369110992,31.877816479752386,0,0.017503342
2004/2005,2004-10-24,2,00:21:24.010,Barcelona,Anderson Luís de Souza,Regular Play,0,Right Foot,Open Play,Normal,1,0,0,b8deca28-05ff-406d-a405-e9f7297f57b3,98.5,36.4,21.799311915746333,20.53375422936599,0,0.07599334
2004/2005,2004-10-24,2,00:24:10.809,Barcelona,Anderson Luís de Souza,From Corner,0,Head,Open Play,Normal,1,0,0,89870657-3937-49da-8ee7-80187030ece4,108.1,51.8,16.75857989210303,19.77091056416308,0,0.033966452
2004/2005,2004-10-24,2,00:32:08.520,Barcelona,Lionel Andrés Messi Cuccittini,From Corner,0,Head,Open Play,Normal,0,0,0,2716da8c-7a9f-46bd-9f66-1b17b80f435b,107.1,38.7,12.96533840669036,34.15693090591113,0,0.040762227
2004/2005,2004-10-24,2,00:32:36.185,Barcelona,Anderson Luís de Souza,Regular Play,1,Right Foot,Open Play,Normal,0,0,0,a240dab0-06f8-4bc6-a607-abfb133b1f0d,97.7,17.8,31.466331212901192,10.378017084069558,0,0.02690294
2004/2005,2004-10-24,2,00:41:47.769,Barcelona,Xavier Hernández Creus,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,,85.2,47.0,35.49704213029587,12.614216340834169,0,0.04702372
2004/2005,2004-10-24,2,00:42:16.567,Barcelona,Rafael Márquez Álvarez,From Corner,0,Head,Open Play,Diving Header,0,0,0,2177b62c-b5b0-4d18-a0ed-4406a747c8ab,113.8,30.7,11.177208953938369,24.481591243986372,0,0.03940505
2004/2005,2004-10-24,2,00:44:53.187,Barcelona,Andrés Iniesta Luján,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,5f0db093-c670-4b54-9e05-2600f0d68abc,99.9,45.7,20.892582415776175,20.926949176828305,0,0.08340262
2004/2005,2004-10-24,2,00:47:11.308,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,0,0,0,f9b3c458-ce32-4f89-8686-8bb9a9d18b0e,108.2,43.4,12.280065146406997,35.00342915490192,1,0.17754942
2004/2005,2004-12-04,1,00:14:08.575,Barcelona,Ronaldo de Assis Moreira,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,0df3dcd5-9fde-426a-bace-4ae1d9e96bd1,89.0,20.7,36.516982350681715,10.660427354104952,0,0.014793613
2004/2005,2004-12-04,1,00:15:04.207,Barcelona,Rafael Márquez Álvarez,From Free Kick,0,Right Foot,Open Play,Normal,0,0,0,eb519f6c-1300-4929-a39e-a72a597669df,81.5,39.1,38.51051804377604,11.85668941160881,0,0.015107546
2004/2005,2004-12-04,1,00:22:57.728,Barcelona,Andrés Iniesta Luján,From Free Kick,0,Left Foot,Open Play,Normal,0,0,0,3aa6e6a3-bcf5-4c54-adc4-f47c944ea87c,95.0,53.5,28.412145290350743,14.185229185847442,0,0.020588517
2004/2005,2004-12-04,1,00:24:26.909,Barcelona,"Samuel Eto""o Fils",From Free Kick,0,Right Foot,Open Play,Normal,0,1,0,31a33cb5-bdd6-41dd-8561-e0d70011b5b9,107.7,33.8,13.774251340817038,29.527047972227653,1,0.30904794
2004/2005,2004-12-04,1,00:28:56.145,Barcelona,Anderson Luís de Souza,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,a99f5f1e-ae58-4152-b7b5-6c53ceb34508,89.1,47.1,31.705204620061995,14.030519450468312,1,0.01747097
2004/2005,2004-12-04,1,00:30:23.567,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Volley,0,0,0,db5ad696-11f2-4951-bff5-27cf0e463ec8,98.1,38.5,21.951309755912067,20.610208664216117,0,0.10240085
2004/2005,2004-12-04,1,00:31:15.425,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,0,0,0,,108.1,47.6,14.119844191774927,27.436935488660943,0,0.31719074
2004/2005,2004-12-04,2,00:02:33.564,Barcelona,Andrés Iniesta Luján,Regular Play,1,Right Foot,Open Play,Normal,0,1,0,a4bd784f-d5c8-40f2-a56a-1155a826fdb7,113.1,27.5,14.27795503564849,16.374678129987867,0,0.23301823
2004/2005,2004-12-04,2,00:11:28.929,Barcelona,Rafael Márquez Álvarez,From Free Kick,0,Right Foot,Open Play,Normal,0,0,0,754419a7-3a77-4a67-9a21-ff316618ffa1,89.1,43.4,31.086492243416597,14.58007767616868,0,0.013399139
2004/2005,2004-12-04,2,00:25:43.087,Barcelona,Andrés Iniesta Luján,From Throw In,0,Left Foot,Open Play,Normal,0,0,0,d32c4d45-931c-4a26-970d-b62c44a20109,94.9,56.1,29.819792085123595,12.95023438663394,0,0.01567268
2004/2005,2004-12-04,2,00:26:32.207,Barcelona,Andrés Iniesta Luján,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,,110.0,40.2,10.00199980003999,43.589196743192915,1,0.29209885
2004/2005,2004-12-04,2,00:31:28.861,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,0,0,0,9e7da116-eaa2-4c8f-ae49-a148d856aa1b,87.5,30.3,33.91666257166232,12.909668176720427,0,0.018530002
2004/2005,2004-12-04,2,00:37:09.257,Barcelona,Ronaldo de Assis Moreira,From Corner,0,Right Foot,Open Play,Volley,1,0,0,,94.7,49.6,27.06011825546961,15.779384473313474,0,0.0114368
2004/2005,2004-12-04,2,00:39:47.847,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,0,0,0,8beb9a27-14ce-4ee9-8b86-fe453d017dcb,108.7,33.7,12.937542270462343,30.84449499031938,0,0.18139416
2004/2005,2004-12-04,2,00:41:49.793,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,1,0,8015976f-0243-42af-951f-18f0defdab25,112.8,27.2,14.686047800548657,16.09081634885219,0,0.109822705
2004/2005,2004-12-04,2,00:43:50.512,Barcelona,Lionel Andrés Messi Cuccittini,From Free Kick,0,Left Foot,Open Play,Half Volley,1,0,0,187ef1a5-e0a6-4682-a3d6-d629ca925000,110.0,41.0,10.04987562112089,43.26429541107162,0,0.28795543
2004/2005,2004-12-04,2,00:44:46.841,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,1,0,0,d95bd9ca-0c5b-45ca-8694-bbd00034cdf0,114.1,31.3,10.511898020814321,26.540793862899424,1,0.19917612
2004/2005,2004-12-21,1,00:06:14.681,Barcelona,Ronaldo de Assis Moreira,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,4181c923-e5d5-4548-b284-274d1d5e10fd,101.4,24.7,24.084227203711556,14.778307392446044,0,0.05059557
2004/2005,2004-12-21,1,00:06:17.322,Barcelona,Anderson Luís de Souza,Regular Play,1,Right Foot,Open Play,Normal,0,0,0,,113.5,45.8,8.711486669908872,40.96642561350266,0,0.16317339
2004/2005,2004-12-21,1,00:06:20.077,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,1,0,0,e59b2bb8-da8d-4a51-82a9-50e746ddb4e6,114.1,43.9,7.072481884034773,54.21734274554768,0,0.2846668
2004/2005,2004-12-21,1,00:10:19.651,Barcelona,"Samuel Eto""o Fils",Regular Play,1,Right Foot,Open Play,Normal,1,0,0,d5faa885-0e97-4a47-a110-847a8cebc144,104.9,35.9,15.646724896923311,27.830732927396284,0,0.13285641
2004/2005,2004-12-21,1,00:19:25.631,Barcelona,Anderson Luís de Souza,From Free Kick,0,Right Foot,Open Play,Volley,1,0,0,27703c1c-b977-4ee9-afed-0936be2090f7,100.1,35.2,20.470710783946906,21.55343581424774,0,0.30064294
2004/2005,2004-12-21,1,00:32:04.252,Barcelona,Anderson Luís de Souza,From Free Kick,0,Right Foot,Free Kick,Normal,0,0,0,,83.0,34.1,37.467452542173184,12.039963651467271,1,0.010451273
2004/2005,2004-12-21,1,00:35:51.190,Barcelona,Anderson Luís de Souza,From Free Kick,1,Right Foot,Open Play,Normal,0,0,0,4e2b6252-8573-4a76-ae98-5eaa8bc3c090,91.2,20.1,35.00642798115797,10.78560399987243,0,0.011083454
2004/2005,2004-12-21,1,00:50:55.671,Barcelona,Anderson Luís de Souza,From Corner,0,Right Foot,Open Play,Volley,1,0,0,,98.3,47.2,22.86328935214704,18.910883310772732,0,0.0255753
2004/2005,2004-12-21,2,00:05:41.388,Barcelona,Andrés Iniesta Luján,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,14f13905-2e57-4eaa-8362-846c845c1516,103.5,27.7,20.580087463370997,17.946858213531613,0,0.04244877
2004/2005,2004-12-21,2,00:13:57.770,Barcelona,Ronaldo de Assis Moreira,From Free Kick,0,Right Foot,Free Kick,Normal,0,0,0,,100.8,25.8,23.880536007384762,15.488917819508849,0,0.039169427
2004/2005,2004-12-21,2,00:21:15.566,Barcelona,Xavier Hernández Creus,Regular Play,0,Right Foot,Open Play,Normal,1,0,0,eb7bd976-56ad-4961-9a73-ef167d8e42fc,91.9,46.7,28.887713651308573,15.357539262248167,0,0.020613002
2004/2005,2004-12-21,2,00:22:44.202,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,1d95f9b8-2f2f-4b25-8ddd-abd8e8b9d147,95.9,59.6,31.063966263180234,11.484337890841067,0,0.01831631
2004/2005,2004-12-21,2,00:22:46.173,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,1,0,0,,114.9,42.3,5.594640292279739,69.44395478041662,0,0.45391998
2004/2005,2004-12-21,2,00:34:53.548,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,8d62e04e-6bf5-4851-b3fa-b23ab7b72727,98.4,53.3,25.366316248127156,15.39757895811367,0,0.03824427
2004/2005,2004-12-21,2,00:38:58.177,Barcelona,Anderson Luís de Souza,From Free Kick,0,Left Foot,Open Play,Normal,0,0,0,e20e03f6-5670-4ded-9eda-b3c3488fbab5,99.7,27.2,23.998541622356967,16.174075085808717,0,0.04361077
2004/2005,2004-12-21,2,00:41:32.204,Barcelona,"Samuel Eto""o Fils",From Throw In,0,Right Foot,Open Play,Normal,0,0,0,4d070406-205f-4634-8874-61661fa32e06,101.3,48.2,20.418863827353377,20.46217790993437,1,0.05559142
2004/2005,2005-05-01,1,00:01:42.440,Barcelona,Rafael Márquez Álvarez,From Free Kick,0,Right Foot,Free Kick,Normal,0,0,0,,89.7,25.9,33.42005385992069,12.417445790076304,0,0.01682557
2004/2005,2005-05-01,1,00:14:18.650,Barcelona,Anderson Luís de Souza,Regular Play,1,Right Foot,Open Play,Normal,0,0,0,3838e2c0-aa40-4e1c-b8a3-dc184fd47277,89.3,47.0,31.487934197085718,14.131700428193424,0,0.013399365
2004/2005,2005-05-01,1,00:20:16.867,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,0,0,0,4ec3ff36-f684-49f3-9463-f37b90b22ad0,90.4,23.3,33.986026540329775,11.744081882455601,0,0.014985525
2004/2005,2005-05-01,1,00:27:49.793,Barcelona,Ronaldo de Assis Moreira,From Free Kick,0,Right Foot,Free Kick,Normal,0,0,0,,89.5,33.8,31.123785116852353,14.365621756124746,0,0.023911178
2004/2005,2005-05-01,1,00:30:45.684,Barcelona,Giovanni van Bronckhorst,From Corner,0,Left Foot,Open Play,Normal,0,0,0,9079a9c6-4fb9-4a68-baa2-56fad95fee0e,114.1,26.7,14.54991408909345,13.559940128578619,0,0.033153426
2004/2005,2005-05-01,1,00:37:36.707,Barcelona,Rafael Márquez Álvarez,From Corner,1,Head,Open Play,Normal,0,0,0,6f037b6f-5e50-4ab0-af12-51d8947196e5,106.6,41.0,13.437261625792665,33.08159381685295,0,0.016553394
2004/2005,2005-05-01,1,00:40:48.362,Barcelona,Rafael Márquez Álvarez,Regular Play,0,Right Foot,Open Play,Normal,1,0,0,2c7b73d7-6bdc-41fe-90fa-a7ce71680ead,93.9,51.0,28.323311953230323,14.873161146634349,0,0.021150893
2004/2005,2005-05-01,1,00:44:57.451,Barcelona,Anderson Luís de Souza,Regular Play,0,Right Foot,Open Play,Half Volley,0,0,0,1bc58d40-7f2c-4028-bdac-8da2634f49f6,101.5,40.3,18.5024322725419,24.394992410252392,0,0.050809693
2004/2005,2005-05-01,2,00:01:16.152,Barcelona,Ronaldo de Assis Moreira,From Free Kick,0,Right Foot,Free Kick,Normal,0,0,0,,89.4,44.4,30.914721412298054,14.60121470960059,0,0.05111971
2004/2005,2005-05-01,2,00:02:09.773,Barcelona,Ronaldo de Assis Moreira,From Free Kick,0,Right Foot,Free Kick,Normal,0,0,0,,90.3,43.3,29.882770955853477,15.159216370247279,0,0.054005697
2004/2005,2005-05-01,2,00:04:46.020,Barcelona,Ronaldo de Assis Moreira,Regular Play,0,Head,Open Play,Normal,0,1,0,665dd270-0414-436f-9507-4b7c23375a6d,110.6,36.4,10.065783625729301,41.392556084568994,0,0.105124824
2004/2005,2005-05-01,2,00:05:06.234,Barcelona,Oleguer Presas Renom,From Corner,1,Head,Open Play,Normal,0,0,0,55b47c7d-e0ea-49fc-beee-ad065ebb90de,111.1,43.6,9.600520819205597,43.06845259956978,0,0.043769963
2004/2005,2005-05-01,2,00:06:36.127,Barcelona,Juliano Haus Belletti,Regular Play,0,Left Foot,Open Play,Normal,1,0,0,b57797b6-bcd5-4d3c-814a-f31dddf0491e,95.4,48.3,25.962472917655585,16.65010549860303,0,0.029837972
2004/2005,2005-05-01,2,00:08:09.099,Barcelona,Andrés Iniesta Luján,From Corner,0,Right Foot,Open Play,Normal,1,0,0,d6a44cb9-e816-479c-85bb-d5755238967f,103.8,31.9,18.1121506177483,22.553994265742006,0,0.14956121
2004/2005,2005-05-01,2,00:08:30.682,Barcelona,Ronaldo de Assis Moreira,From Corner,0,Right Foot,Open Play,Normal,0,0,0,8f72cdbb-6e70-45d7-a8be-007eed1389f9,103.0,23.3,23.83044271514904,13.843348047113762,0,0.0202279
2004/2005,2005-05-01,2,00:11:42.089,Barcelona,Juliano Haus Belletti,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,952c12ff-266d-48b5-b8e4-5732c60b0214,98.4,49.3,23.517015116719207,17.835981720965194,0,0.052709498
2004/2005,2005-05-01,2,00:20:45.627,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,0,0,0,cb493752-c5c6-4222-b11c-7d837b2b4a9a,103.7,29.1,19.608671551127575,19.487192506891148,0,0.031563755
2004/2005,2005-05-01,2,00:20:53.702,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Normal,1,0,0,,96.7,33.5,24.189667215569543,18.13422604110011,1,0.036707528
2004/2005,2005-05-01,2,00:35:55.788,Barcelona,Giovanni van Bronckhorst,From Free Kick,0,Left Foot,Free Kick,Normal,0,0,0,,87.6,43.1,32.547964606100955,13.951321254785192,0,0.0150917815
2004/2005,2005-05-01,2,00:40:07.122,Barcelona,Ludovic Giuly,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,8172b58c-cc9d-43d4-8fc4-a4a4889ec397,108.1,51.0,16.205246064160832,21.108315104825962,0,0.057454813
2004/2005,2005-05-01,2,00:45:14.961,Barcelona,Lionel Andrés Messi Cuccittini,From Counter,0,Left Foot,Open Play,Lob,1,0,0,32dcbef6-73c3-41d3-b65a-41bf6f89e926,106.0,29.3,17.6207264322445,20.822736255196247,1,0.20897156
2004/2005,2005-05-01,2,00:47:29.137,Barcelona,Thiago Motta,From Corner,0,Left Foot,Open Play,Normal,0,0,0,f24ab219-6c85-4fa1-81ae-b294969c5966,94.2,45.8,26.44390288894587,16.80811531041171,0,0.025337718
2004/2005,2004-10-16,1,00:08:52.040,Barcelona,Anderson Luís de Souza,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,d234dbe1-bc38-4fd1-ab02-211e4c5b642e,91.6,55.0,32.117907777437814,12.610501453923003,1,0.017127803
2004/2005,2004-10-16,1,00:17:04.744,Barcelona,Juliano Haus Belletti,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,43ca1aad-e944-482e-8834-1e59d97e7b07,108.7,58.0,21.252999788265182,11.721805478893746,0,0.025848748
2004/2005,2004-10-16,1,00:17:53.364,Barcelona,"Samuel Eto""o Fils",From Corner,0,Right Foot,Open Play,Normal,0,0,0,5ecca64c-ef83-446b-bac7-460406080d87,108.9,27.8,16.4939382804714,19.12691741624463,0,0.06149562
2004/2005,2004-10-16,1,00:18:19.824,Barcelona,Juliano Haus Belletti,From Corner,0,Right Foot,Open Play,Normal,0,0,0,63717567-0e2f-4ef6-afcd-42cb1c07a767,102.6,59.0,25.76354012941545,12.128097227294573,0,0.027435502
2004/2005,2004-10-16,1,00:23:10.695,Barcelona,Ronaldo de Assis Moreira,From Corner,1,Head,Open Play,Normal,0,0,0,605447c6-aa60-4b52-9994-78042165daff,108.2,38.4,11.907980517283354,36.884469308681716,0,0.026151337
2004/2005,2004-10-16,1,00:31:06.700,Barcelona,Rafael Márquez Álvarez,From Free Kick,0,Right Foot,Open Play,Normal,0,0,0,,81.1,48.1,39.73436799547717,11.261841065147351,0,0.008282358
2004/2005,2004-10-16,1,00:41:21.695,Barcelona,Ronaldo de Assis Moreira,From Free Kick,0,Right Foot,Free Kick,Normal,0,0,0,,91.5,32.8,29.395407804621456,15.047577415789622,0,0.050281085
2004/2005,2004-10-16,1,00:45:31.381,Barcelona,Ronaldo de Assis Moreira,From Free Kick,0,Right Foot,Free Kick,Normal,0,0,0,,98.0,34.3,22.726416347501864,19.374498031086613,0,0.11170381
2004/2005,2004-10-16,2,00:01:31.543,Barcelona,"Samuel Eto""o Fils",From Counter,0,Right Foot,Open Play,Lob,0,1,0,324a857d-aa1f-4a8f-bd8c-f88a2cb8b855,111.2,49.2,12.731064370271639,25.730705601531177,0,0.31097525
2004/2005,2004-10-16,2,00:06:43.784,Barcelona,Giovanni van Bronckhorst,From Throw In,0,Left Foot,Open Play,Normal,0,0,0,d631da81-84c2-4132-947b-5728c53bb505,85.6,26.4,36.99080966943006,11.502741554485517,0,0.010747922
2004/2005,2004-10-16,2,00:12:30.349,Barcelona,Anderson Luís de Souza,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,26cfc6cc-46ac-45d1-a6fc-73f0c621e6fe,114.9,29.5,11.67304587500623,18.740272313970028,0,0.31598628
2004/2005,2004-10-16,2,00:12:37.052,Barcelona,Henrik Larsson,Regular Play,1,Head,Open Play,Normal,0,1,0,818c753f-895c-417c-85c3-6d0611241736,116.8,49.2,9.740636529508741,17.98050738635734,0,0.07061711
2004/2005,2004-10-16,2,00:20:39.113,Barcelona,Ronaldo de Assis Moreira,From Throw In,0,Right Foot,Open Play,Normal,0,0,0,12f30320-dbe7-41ea-a8f4-8d92aebf005f,87.8,25.2,35.43839725495497,11.736914334197708,0,0.016931748
2004/2005,2004-10-16,2,00:21:49.728,Barcelona,Ronaldo de Assis Moreira,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,796ed544-424e-4637-bd41-1f002a1cb6dc,108.4,28.4,16.4048773235279,20.134175056053238,0,0.201671
2004/2005,2004-10-16,2,00:33:01.715,Barcelona,Giovanni van Bronckhorst,From Free Kick,0,Left Foot,Free Kick,Normal,0,0,0,,91.1,47.1,29.75936827286494,14.88843232896025,0,0.049676135
2004/2005,2005-04-17,1,00:02:20.721,Barcelona,Ronaldo de Assis Moreira,Regular Play,0,Right Foot,Open Play,Normal,1,0,0,,106.2,34.3,14.930840565755163,28.080534196757704,0,0.25657415
2004/2005,2005-04-17,1,00:03:05.348,Barcelona,Ronaldo de Assis Moreira,From Counter,0,Right Foot,Open Play,Normal,0,0,0,2dc151b6-7591-406a-8936-a58f5c1badcd,93.5,49.1,28.018922177699842,15.411465545158997,0,0.029046224
2004/2005,2005-04-17,1,00:05:51.826,Barcelona,Giovanni van Bronckhorst,From Corner,0,Left Foot,Open Play,Volley,1,0,0,6275fd07-f85a-4e12-bfe0-5232aa1531d3,88.3,41.4,31.730899766631268,14.356210643816238,0,0.026396632
